num,player,time,reb,ast,ste,blo,tov,ppg,win,lose,win_rate,
26,Alex Gologa,33.900000,6.000000,2.400000,1.350000,0.300000,3.550000,22.500000,313.000000,219.000000,0.588346,
27,Bernard Kim,33.700000,5.800000,3.300000,1.000000,0.300000,3.200000,22.500000,313.000000,219.000000,0.588346,
28,Damian Lillard,36.400000,4.000000,6.200000,0.900000,0.300000,2.800000,22.400000,216.000000,180.000000,0.545455,
29,Anthony Davis,34.400000,10.200000,1.800000,1.300000,2.400000,1.800000,22.400000,146.000000,189.000000,0.435821,
30,James Harden,33.600000,5.000000,5.700000,1.500000,0.400000,3.400000,22.100000,388.000000,227.000000,0.630894,
31,Charles Barclay,36.700000,11.700000,3.900000,1.500000,0.800000,3.100000,22.100000,224.000000,165.500000,0.575096,
32,David Thompson,32.000000,3.800000,3.200000,0.900000,0.800000,3.050000,22.100000,224.000000,165.500000,0.575096,
33,Bob Mcadu,33.200000,9.400000,2.300000,1.350000,1.150000,3.050000,22.100000,224.000000,165.500000,0.575096,
34,Julius Erving,34.300000,6.700000,3.900000,1.800000,1.500000,3.050000,22.000000,224.000000,165.500000,0.575096,
35,Geoff Petri,37.600000,2.800000,4.600000,1.750000,2.300000,3.050000,21.800000,224.000000,165.500000,0.575096,
36,Hakeem Olajuwon,35.700000,11.100000,2.500000,1.700000,3.100000,3.000000,21.800000,224.000000,165.500000,0.575096,
37,Karl Anthony Downs,34.500000,11.400000,2.300000,0.700000,1.500000,2.400000,21.700000,60.000000,104.000000,0.365854,
38,Dirk NOWITZKI,34.900000,7.800000,2.500000,0.800000,0.900000,1.700000,21.700000,875.000000,519.000000,0.627690,
39,Kyrie Irving,34.200000,3.400000,5.600000,1.300000,0.300000,2.700000,21.600000,200.000000,181.000000,0.524934,
40,Blake Griffin,35.200000,9.400000,4.100000,1.000000,0.600000,2.500000,21.500000,292.000000,179.000000,0.619958,
41,Alex English,31.900000,5.500000,3.600000,0.900000,0.700000,3.000000,21.500000,235.500000,243.500000,0.491649,
42,DeMarcus Cousins,32.000000,10.800000,3.000000,1.400000,1.200000,3.500000,21.200000,179.000000,308.000000,0.367556,
43,David Robinson,34.700000,10.600000,2.500000,1.400000,3.000000,2.400000,21.100000,673.000000,314.000000,0.681864,
44,Mitch Richmond,35.200000,3.900000,3.500000,1.200000,0.300000,2.600000,21.000000,432.000000,544.000000,0.442623,
45,Patrick Ewing,34.300000,9.800000,1.900000,1.000000,2.400000,3.000000,21.000000,678.000000,505.000000,0.573119,
46,Elvin Hayes,38.400000,12.500000,1.800000,1.200000,1.350000,3.050000,21.000000,496.000000,439.500000,0.530198,
47,Billy Cunningham,34.300000,10.100000,4.000000,1.200000,1.350000,3.050000,20.800000,496.000000,439.500000,0.530198,
48,John Hafelicek,36.600000,6.300000,4.800000,1.200000,1.350000,3.050000,20.800000,496.000000,439.500000,0.530198,
49,John Drew,29.500000,6.900000,1.700000,1.400000,0.300000,3.050000,20.700000,496.000000,439.500000,0.530198,
50,Glenn Robinson,36.800000,6.100000,2.700000,1.200000,0.600000,3.100000,20.700000,314.000000,374.000000,0.456395,
51,Chris Weber,37.100000,9.800000,4.200000,1.400000,1.400000,2.800000,20.700000,472.000000,359.000000,0.567990,
52,Gilbert Arenas,35.100000,3.900000,5.300000,1.600000,0.200000,3.200000,20.700000,253.000000,299.000000,0.458333,
53,Moses Malone,33.900000,12.200000,1.400000,0.800000,1.300000,2.950000,20.600000,164.500000,234.000000,0.412798,
54,Clyde Drexler,34.600000,6.100000,5.600000,2.000000,0.700000,2.700000,20.400000,164.500000,234.000000,0.412798,
55,Dan Issel,31.100000,7.900000,2.500000,1.000000,0.600000,2.450000,20.400000,164.500000,234.000000,0.412798,
56,Andrew Wiggins,36.200000,4.100000,2.100000,1.000000,0.500000,2.200000,20.400000,76.000000,169.000000,0.310204,
57,Dave Bing,36.400000,3.800000,6.000000,1.000000,0.400000,3.000000,20.300000,44.500000,93.500000,0.322464,
58,Wald B Jeffrey,30.400000,2.700000,3.700000,1.000000,0.300000,3.000000,20.300000,44.500000,93.500000,0.322464,
59,Joel Nebid,25.400000,7.800000,2.100000,0.900000,2.500000,3.800000,20.200000,13.000000,18.000000,0.419355,
60,Lou Hodson,33.500000,4.400000,2.700000,1.000000,1.350000,3.100000,20.200000,385.500000,301.500000,0.561135,
61,John Williams,31.800000,2.500000,2.800000,1.100000,0.200000,3.100000,20.100000,385.500000,301.500000,0.561135,
62,Marquis Johnson,34.300000,7.000000,3.600000,1.300000,0.800000,2.400000,20.100000,385.500000,301.500000,0.561135,
63,Walt Bellamy,37.300000,13.700000,2.400000,1.000000,0.550000,2.450000,20.100000,385.500000,301.500000,0.561135,
64,Bob Lanier,33.500000,10.100000,3.100000,1.000000,0.550000,2.450000,20.100000,385.500000,301.500000,0.561135,
65,Mark Aguirre,30.000000,5.000000,3.100000,0.700000,0.300000,2.500000,20.000000,385.500000,301.500000,0.561135,
66,Mike Mitchell,32.300000,5.600000,1.300000,0.700000,0.500000,1.700000,19.800000,385.500000,301.500000,0.561135,
67,Kiki Vandeweghe,30.300000,3.400000,2.100000,0.600000,0.300000,1.600000,19.700000,385.500000,301.500000,0.561135,
68,Paul Pierce,34.200000,5.600000,3.500000,1.300000,0.600000,2.600000,19.700000,758.000000,585.000000,0.564408,
69,Tracy Mcgrady,32.700000,5.600000,4.400000,1.200000,0.900000,2.200000,19.600000,478.000000,460.000000,0.509595,
70,Earvin Johnson,36.700000,7.200000,11.200000,1.900000,0.400000,3.900000,19.500000,374.500000,329.500000,0.531960,
71,Derrick Rose,34.700000,3.700000,6.000000,0.800000,0.400000,2.800000,19.500000,271.000000,199.000000,0.576596,
72,Neuil Johnston,35.500000,11.300000,2.500000,1.000000,0.250000,2.900000,19.400000,323.500000,334.500000,0.491641,
73,Stephon Marbury,37.700000,3.000000,7.600000,1.200000,0.100000,3.000000,19.300000,376.000000,470.000000,0.444444,
74,DeMar DeRozan,34.100000,4.100000,2.800000,1.000000,0.300000,1.900000,19.300000,296.000000,299.000000,0.497479,
75,Chris Bosh,35.800000,8.500000,2.000000,0.800000,1.000000,2.000000,19.200000,488.000000,405.000000,0.546473,
76,Jack Twyman,31.800000,6.600000,2.300000,1.350000,0.650000,2.900000,19.200000,351.000000,316.000000,0.526237,
77,Hall Grier,35.500000,5.000000,4.000000,1.350000,0.650000,2.900000,19.200000,351.000000,316.000000,0.526237,
78,Isiah Thomas,36.300000,3.600000,9.300000,1.900000,0.300000,3.800000,19.200000,351.000000,316.000000,0.526237,
79,Georgo Yardley,33.400000,8.900000,1.700000,1.450000,0.200000,3.050000,19.200000,351.000000,316.000000,0.526237,
80,Spencer Haywood,33.700000,9.300000,1.800000,1.450000,0.200000,3.050000,19.200000,351.000000,316.000000,0.526237,
81,Isaiah Thomas,30.000000,2.600000,5.200000,1.000000,0.100000,2.300000,19.100000,214.000000,227.000000,0.485261,
82,Klay Thompson,32.700000,3.300000,2.300000,0.900000,0.500000,1.700000,19.100000,322.000000,142.000000,0.693966,
83,LaMarcus Aldridge,34.700000,8.300000,1.900000,0.800000,1.000000,1.600000,19.100000,475.000000,319.000000,0.598237,
84,Jamal Mashburn,37.300000,5.400000,4.000000,1.000000,0.200000,2.600000,19.100000,299.000000,312.000000,0.489362,
85,Jeff Malone,32.800000,2.600000,2.400000,0.600000,0.100000,1.700000,19.000000,650.000000,351.500000,0.649026,
86,Tim Duncan,34.000000,10.800000,3.000000,0.700000,2.200000,2.400000,19.000000,1001.000000,391.000000,0.719109,
87,Michael Redd,32.000000,3.800000,2.100000,0.900000,0.100000,1.500000,19.000000,285.000000,344.000000,0.453100,
88,Yao Ming,32.500000,9.200000,1.600000,0.400000,1.900000,2.700000,19.000000,284.000000,202.000000,0.584362,
89,Brad Daugherty,36.500000,9.500000,3.700000,0.800000,0.700000,2.800000,19.000000,310.000000,238.000000,0.565693,
90,Clark Kellogg,32.700000,9.500000,2.900000,1.500000,0.400000,2.800000,18.900000,394.000000,303.000000,0.565280,
91,Amare stoudemire,31.000000,7.800000,1.200000,0.800000,1.200000,2.300000,18.900000,478.000000,368.000000,0.565012,
92,Walter Davis,27.900000,3.000000,3.800000,1.200000,0.100000,2.500000,18.900000,616.500000,456.500000,0.574557,
93,Walt Frazier,37.500000,5.900000,6.100000,1.150000,0.150000,2.300000,18.900000,616.500000,456.500000,0.574557,
94,Ray Allen,35.600000,4.100000,3.400000,1.100000,0.200000,2.100000,18.900000,755.000000,545.000000,0.580769,
95,Earl Monroe,32.000000,3.000000,3.900000,1.400000,0.400000,2.950000,18.800000,496.000000,404.000000,0.551111,
96,John Wall,36.100000,4.400000,9.200000,1.700000,0.600000,3.800000,18.800000,237.000000,263.000000,0.474000,
97,Brandon Roy,35.500000,4.300000,4.700000,1.000000,0.200000,1.800000,18.800000,186.000000,140.000000,0.570552,
98,Nate Archibald,35.600000,2.300000,7.400000,1.650000,0.150000,2.100000,18.800000,351.000000,229.000000,0.605172,
99,Willis Reed,35.500000,12.900000,1.800000,1.650000,0.150000,2.100000,18.700000,351.000000,229.000000,0.605172,
100,Chris Paul,35.600000,4.400000,9.900000,2.300000,0.100000,2.400000,18.700000,516.000000,318.000000,0.618705,
101,Bailey Howell,32.200000,9.900000,1.900000,1.450000,0.900000,2.250000,18.700000,358.000000,340.000000,0.512894,
102,Tom Heinsohn,29.400000,8.800000,2.000000,1.450000,0.900000,2.250000,18.600000,358.000000,340.000000,0.512894,
103,Gail Goodrich,32.500000,3.200000,4.700000,1.450000,0.900000,2.250000,18.600000,358.000000,340.000000,0.512894,
104,Brook Lopez,32.300000,7.100000,1.500000,0.600000,1.700000,2.100000,18.600000,200.000000,362.000000,0.355872,
105,Reggie Seux,33.700000,3.300000,6.300000,1.200000,0.200000,3.400000,18.500000,326.500000,496.500000,0.396719,
106,Dolph Schayes,34.450000,5.050000,3.100000,1.100000,0.300000,2.500000,18.500000,326.500000,496.500000,0.396719,
107,Bob Dandridge,35.200000,6.800000,3.400000,1.100000,0.300000,2.500000,18.500000,326.500000,496.500000,0.396719,
108,Antoine Jamieson,34.700000,7.500000,1.600000,1.000000,0.400000,1.600000,18.500000,453.000000,631.000000,0.417897,
109,rudy gay,35.600000,5.900000,2.300000,1.300000,0.800000,2.400000,18.400000,311.000000,442.000000,0.413015,
110,Kevin Love,32.600000,11.500000,2.400000,0.700000,0.500000,2.000000,18.400000,268.000000,308.000000,0.465278,
111,Kemba Walker,33.900000,3.900000,5.400000,1.400000,0.400000,2.100000,18.400000,170.000000,273.000000,0.383747,
112,Bob Cousy,34.450000,5.200000,7.500000,1.200000,0.350000,1.900000,18.400000,337.000000,384.500000,0.467082,
113,Glenn Les,35.000000,4.400000,2.100000,1.000000,0.300000,1.700000,18.300000,504.000000,496.000000,0.504000,
114,Latrel Sprewell,38.600000,4.100000,4.000000,1.400000,0.400000,2.700000,18.300000,449.000000,464.000000,0.491785,
115,Chet Walker,32.400000,7.100000,2.100000,1.250000,0.500000,2.250000,18.200000,585.000000,545.000000,0.517699,
116,Vince Carter,32.000000,4.600000,3.300000,1.100000,0.600000,1.800000,18.200000,721.000000,626.000000,0.535264,
117,Reggie Miller,34.300000,3.000000,3.000000,1.100000,0.200000,1.700000,18.200000,767.000000,622.000000,0.552196,
118,Chris Mullin,32.600000,4.100000,3.500000,1.600000,0.600000,2.300000,18.200000,496.000000,490.000000,0.503043,
119,Steve Francis,37.600000,5.600000,6.000000,1.500000,0.400000,3.500000,18.100000,268.000000,308.000000,0.465278,
120,Tom Chambers,30.600000,6.100000,2.100000,0.800000,0.600000,2.300000,18.100000,271.500000,431.500000,0.386202,
121,Sharif Abdul Rahim,34.800000,7.500000,2.500000,1.000000,0.800000,2.600000,18.100000,275.000000,555.000000,0.331325,
122,Paul George,32.800000,6.300000,3.200000,1.700000,0.400000,2.500000,18.100000,261.000000,187.000000,0.582589,
123,Cliff Hagan,29.200000,6.900000,3.000000,1.450000,0.300000,2.300000,18.000000,152.500000,148.500000,0.506645,
124,Otis Bilderson,31.100000,3.000000,3.200000,1.200000,0.200000,2.100000,18.000000,152.500000,148.500000,0.506645,
125,Devin Booker,31.400000,2.800000,3.000000,0.800000,0.300000,2.600000,18.000000,44.000000,110.000000,0.285714,
126,Rolando Blackman,32.700000,3.300000,3.000000,0.700000,0.300000,1.900000,18.000000,327.500000,309.000000,0.514533,
127,Charlie Scott,34.400000,3.600000,4.800000,0.950000,0.300000,1.200000,17.900000,327.500000,309.000000,0.514533,
128,Kelvin Murphy,30.500000,2.100000,4.400000,0.950000,0.300000,1.700000,17.900000,327.500000,309.000000,0.514533,
129,Doug Collins,33.600000,3.200000,3.300000,1.200000,0.300000,1.700000,17.900000,327.500000,309.000000,0.514533,
130,Pau Gasol,34.700000,9.400000,3.200000,0.500000,1.700000,2.200000,17.900000,611.000000,508.000000,0.546023,
131,Kevin Johnson,34.100000,3.300000,9.100000,1.500000,0.200000,3.100000,17.900000,472.000000,263.000000,0.642177,
132,Kevin Mikhail,31.000000,7.300000,1.700000,0.400000,1.700000,1.900000,17.900000,445.000000,339.000000,0.567602,
133,Monta Ellis,34.800000,3.500000,4.600000,1.700000,0.300000,2.700000,17.800000,418.000000,415.000000,0.501801,
134,Kevin Garnett,34.500000,10.000000,3.700000,1.300000,1.400000,2.200000,17.800000,825.000000,637.000000,0.564295,
135,Bill Sharman,34.900000,3.900000,3.000000,1.450000,0.750000,2.550000,17.800000,662.500000,502.000000,0.568914,
136,Tim Hardaway,35.300000,3.300000,8.200000,1.600000,0.100000,2.900000,17.700000,500.000000,367.000000,0.576701,
137,Sam Jones,27.900000,4.900000,2.500000,1.450000,0.200000,2.400000,17.700000,337.000000,258.500000,0.565911,
138,Jamaal Wilkes,32.900000,6.200000,2.500000,1.300000,0.300000,2.400000,17.700000,337.000000,258.500000,0.565911,
139,Bradley Beal,33.300000,3.600000,3.100000,1.000000,0.300000,1.900000,17.700000,174.000000,150.000000,0.537037,
140,Joy Barry Carol,32.400000,7.700000,1.800000,1.000000,1.600000,2.800000,17.700000,226.500000,160.500000,0.585271,
141,Dave Cowens,38.600000,13.600000,3.800000,1.050000,1.150000,2.400000,17.600000,226.500000,160.500000,0.585271,
142,James Voci,32.400000,5.100000,3.000000,1.100000,0.700000,2.000000,17.600000,226.500000,160.500000,0.585271,
143,Bob Love,31.800000,5.900000,1.400000,1.200000,0.800000,1.800000,17.600000,226.500000,160.500000,0.585271,
144,Reggie Lewis,32.600000,4.300000,2.600000,1.300000,0.900000,1.600000,17.600000,279.000000,171.000000,0.620000,
145,Ed Macaulay,33.950000,6.000000,3.200000,1.250000,0.700000,2.200000,17.500000,344.000000,327.500000,0.512286,
146,Antoine Walker,35.300000,7.700000,3.500000,1.200000,0.500000,2.800000,17.500000,409.000000,484.000000,0.458007,
147,Dwight Howard,34.900000,12.700000,1.500000,1.000000,2.000000,3.000000,17.500000,554.000000,400.000000,0.580713,
148,Rudy Tomjanovich,33.500000,8.100000,2.000000,0.950000,1.050000,2.350000,17.400000,449.000000,385.000000,0.538369,
149,Bob Lull,29.400000,8.300000,1.500000,0.950000,1.050000,2.350000,17.400000,449.000000,385.000000,0.538369,
150,Kevin Martin,30.200000,3.200000,1.900000,0.900000,0.100000,1.700000,17.400000,344.000000,370.000000,0.481793,
151,Jeff Rueland,33.400000,10.200000,3.000000,0.800000,0.800000,3.700000,17.400000,375.500000,401.000000,0.483580,
152,Purvis ASalt,29.200000,4.300000,2.500000,1.000000,0.200000,2.000000,17.300000,375.500000,401.000000,0.483580,
153,allan houston,33.700000,2.900000,2.400000,0.700000,0.200000,2.100000,17.300000,407.000000,432.000000,0.485101,
154,Richer Garlon,32.400000,5.000000,5.000000,1.200000,0.300000,2.300000,17.300000,405.000000,443.000000,0.477594,
155,George McGinnis,30.700000,9.800000,3.800000,1.700000,0.400000,2.300000,17.200000,405.000000,443.000000,0.477594,
156,Cliff Robinson,30.700000,8.300000,2.000000,1.000000,0.700000,2.500000,17.200000,405.000000,443.000000,0.477594,
157,Jo Jo White,35.800000,4.000000,4.900000,0.950000,0.500000,2.300000,17.200000,405.000000,443.000000,0.477594,
158,Phil Cheryl,33.100000,3.600000,3.000000,0.950000,0.500000,2.300000,17.200000,405.000000,443.000000,0.477594,
159,Kelvin Nate,31.400000,6.800000,2.200000,0.900000,0.300000,2.100000,17.200000,405.000000,443.000000,0.477594,
160,Kelly Tripucka,29.600000,3.800000,3.000000,1.000000,0.200000,2.400000,17.200000,405.000000,443.000000,0.477594,
161,Altis Gilmore,32.700000,10.100000,2.000000,0.500000,1.900000,2.100000,17.100000,405.000000,443.000000,0.477594,
162,Jason Richardson,34.100000,5.000000,2.700000,1.200000,0.400000,1.800000,17.100000,403.000000,454.000000,0.470245,
163,Gass Johnson,34.600000,12.700000,2.600000,1.600000,0.400000,2.200000,17.100000,447.000000,400.500000,0.527434,
164,Gass Williams,31.100000,2.700000,5.600000,2.000000,0.400000,2.200000,17.100000,447.000000,400.500000,0.527434,
165,Alonzo Mourning,31.000000,8.500000,1.100000,0.500000,2.800000,2.600000,17.100000,491.000000,347.000000,0.585919,
166,Richard Hamilton,32.100000,3.100000,3.400000,0.800000,0.100000,2.100000,17.100000,501.000000,420.000000,0.543974,
167,Larry Nance,33.400000,8.000000,2.600000,0.900000,2.200000,1.900000,17.100000,501.000000,361.500000,0.580870,
168,Peja Stojakovi,33.500000,4.700000,1.800000,0.900000,0.100000,1.400000,17.000000,501.000000,303.000000,0.623134,
169,Clyde LaFollette,27.100000,9.500000,1.700000,1.100000,0.200000,2.050000,17.000000,501.000000,386.000000,0.564825,
170,Larry Cannon,30.800000,7.800000,2.600000,1.300000,0.300000,2.050000,17.000000,501.000000,386.000000,0.564825,
171,Jerry Lucas,38.800000,15.600000,3.300000,1.100000,0.400000,2.050000,17.000000,501.000000,386.000000,0.564825,
172,Jerry Stackhouse,31.200000,3.200000,3.300000,0.900000,0.500000,2.700000,16.900000,501.000000,469.000000,0.516495,
173,Sidney Weekes,33.900000,8.700000,3.200000,0.950000,0.650000,2.300000,16.800000,392.000000,386.000000,0.503856,
174,Danny Granger,31.500000,4.900000,1.900000,1.000000,0.800000,1.900000,16.800000,283.000000,303.000000,0.482935,
175,Lee Schaaf,28.100000,6.300000,1.200000,0.850000,0.550000,2.000000,16.800000,413.000000,408.500000,0.502739,
176,Zach Randolph,31.300000,9.300000,1.800000,0.700000,0.300000,2.100000,16.800000,543.000000,514.000000,0.513718,
177,Isaiah Rider,31.700000,3.800000,2.700000,0.700000,0.200000,2.500000,16.700000,252.000000,311.000000,0.447602,
178,Grant Hill,33.900000,6.000000,4.100000,1.200000,0.600000,2.400000,16.700000,543.000000,483.000000,0.529240,
179,Jimmy Walker,33.800000,2.700000,3.500000,1.050000,0.950000,2.300000,16.700000,313.500000,311.500000,0.501600,
180,Dino Radia,32.600000,8.400000,1.600000,0.900000,1.300000,2.200000,16.700000,84.000000,140.000000,0.375000,
181,Randy Smith,32.200000,3.700000,4.600000,0.950000,0.800000,2.150000,16.700000,149.000000,209.000000,0.416201,
182,Eric Gordon,33.500000,2.500000,3.200000,1.000000,0.300000,2.100000,16.600000,214.000000,278.000000,0.434959,
183,Lenny Wilkens,35.300000,4.700000,6.700000,0.900000,0.800000,2.350000,16.500000,282.500000,354.000000,0.443833,
184,Cornier Hawkins,34.500000,8.000000,4.100000,0.900000,0.800000,2.350000,16.500000,282.500000,354.000000,0.443833,
185,Derrick Coleman,33.200000,9.300000,2.500000,0.800000,1.300000,2.600000,16.500000,351.000000,430.000000,0.449424,
186,Terry Cummings,28.700000,7.300000,1.900000,1.100000,0.500000,1.900000,16.400000,489.500000,511.500000,0.489011,
187,Morris Stokes,37.300000,17.300000,5.300000,1.000000,0.350000,1.950000,16.400000,489.500000,511.500000,0.489011,
188,Joe Johnson,35.200000,4.000000,4.000000,0.900000,0.200000,2.000000,16.400000,628.000000,593.000000,0.514333,
189,Dick Van Arsdale,34.500000,4.100000,3.300000,1.350000,0.450000,1.700000,16.400000,467.000000,342.500000,0.576899,
190,Jo Foulkes,32.550000,5.150000,1.200000,1.350000,0.450000,1.700000,16.400000,467.000000,342.500000,0.576899,
191,Kowhai Leonard,30.600000,6.200000,2.300000,1.800000,0.700000,1.400000,16.400000,306.000000,92.000000,0.768844,
192,Gary Peyton,35.300000,3.900000,6.700000,1.800000,0.200000,2.300000,16.300000,823.000000,512.000000,0.616479,
193,Deron Williams,34.200000,3.100000,8.100000,1.000000,0.200000,2.800000,16.300000,460.000000,385.000000,0.544379,
194,Archie Clark,32.500000,3.300000,4.800000,0.950000,0.300000,2.450000,16.300000,458.000000,395.000000,0.536928,
195,Carlos Boozer,31.300000,9.500000,2.200000,0.900000,0.400000,2.100000,16.200000,456.000000,405.000000,0.529617,
196,Brian Winters,30.700000,2.600000,4.100000,1.200000,0.300000,2.250000,16.200000,643.000000,359.000000,0.641717,
197,Tony Parker,31.700000,2.800000,5.800000,0.900000,0.100000,2.400000,16.200000,830.000000,313.000000,0.726159,
198,Darnell Griffith,28.000000,3.300000,2.100000,1.200000,0.300000,2.100000,16.200000,612.500000,312.500000,0.662162,
199,Larry Johnson,36.300000,7.500000,3.300000,0.700000,0.400000,2.000000,16.200000,395.000000,312.000000,0.558699,
200,Jeff Mullins,30.600000,4.300000,3.800000,1.000000,0.400000,2.350000,16.200000,289.000000,301.000000,0.489831,
201,Terrik Evans,32.200000,4.800000,5.100000,1.300000,0.400000,2.700000,16.100000,183.000000,290.000000,0.386892,
202,Kristaps Poljinjis,30.500000,7.300000,1.400000,0.700000,1.900000,1.700000,16.100000,54.000000,84.000000,0.391304,
203,Joe Dumars,34.500000,2.200000,4.500000,0.900000,0.100000,2.000000,16.100000,588.000000,430.000000,0.577603,
204,Baron Davis,34.200000,3.800000,7.200000,1.800000,0.400000,2.800000,16.100000,415.000000,420.000000,0.497006,
205,Scottie Pippen,34.900000,6.400000,5.200000,2.000000,0.800000,2.800000,16.100000,810.000000,368.000000,0.687606,
206,Dave Debusschere,35.700000,11.000000,2.900000,1.350000,1.000000,2.100000,16.100000,593.500000,435.000000,0.577054,
207,Al Jefferson,29.400000,8.600000,1.500000,0.700000,1.200000,1.400000,16.000000,377.000000,502.000000,0.428896,
208,Cardinal Mobley,37.000000,3.900000,2.700000,1.200000,0.400000,2.000000,16.000000,363.000000,384.000000,0.485944,
209,Eddie Johnson,27.200000,4.000000,2.100000,0.600000,0.200000,1.700000,16.000000,328.500000,332.500000,0.496974,
210,Keith VanHorn,31.600000,6.800000,1.600000,0.800000,0.500000,2.200000,16.000000,294.000000,281.000000,0.511304,
211,Orlando Ulrich,28.300000,4.300000,1.900000,0.600000,0.700000,2.100000,16.000000,306.500000,394.500000,0.437233,
212,Selmo Betty,32.200000,10.400000,1.500000,0.650000,0.450000,2.200000,16.000000,306.500000,394.500000,0.437233,
213,Corey Maggette,28.200000,4.900000,2.100000,0.700000,0.200000,2.300000,16.000000,319.000000,508.000000,0.385732,
214,Andrew Tony,26.900000,2.200000,4.200000,0.800000,0.200000,3.000000,15.900000,382.000000,560.500000,0.405305,
215,Lalfi Baird,29.950000,5.350000,4.400000,0.850000,0.950000,2.450000,15.900000,382.000000,560.500000,0.405305,
216,Elton Brand,33.000000,8.500000,2.100000,0.900000,1.700000,1.900000,15.900000,445.000000,613.000000,0.420605,
217,Don Orr,30.800000,3.000000,3.100000,0.900000,1.000000,1.800000,15.900000,293.500000,365.500000,0.445372,
218,C.J. Mike Room,27.000000,2.600000,2.800000,0.900000,0.300000,1.700000,15.900000,142.000000,118.000000,0.546154,
219,Victor Oladipo,33.200000,4.400000,3.700000,1.500000,0.500000,2.500000,15.900000,116.000000,175.000000,0.398625,
220,Canby Russell,29.600000,4.800000,3.000000,1.000000,0.200000,2.100000,15.800000,91.500000,130.000000,0.413093,
221,Dick Barnett,29.800000,2.900000,2.800000,1.000000,0.300000,2.100000,15.800000,91.500000,130.000000,0.413093,
222,Jabari Parker,32.100000,5.600000,2.100000,1.000000,0.400000,1.700000,15.800000,67.000000,85.000000,0.440789,
223,Willie Naulls,28.800000,9.100000,1.600000,1.050000,0.300000,2.050000,15.800000,312.000000,260.500000,0.544978,
224,Sam Cassell,30.000000,3.200000,6.000000,1.100000,0.200000,2.400000,15.700000,557.000000,436.000000,0.560926,
225,Billy Knight,27.400000,4.500000,2.100000,0.900000,0.100000,1.950000,15.700000,599.000000,449.000000,0.571565,
226,Dale Ellis,28.800000,3.500000,1.400000,0.800000,0.200000,1.500000,15.700000,599.000000,449.000000,0.571565,
227,Norm Nickerson,35.500000,2.600000,8.300000,1.500000,0.100000,3.100000,15.700000,599.000000,449.000000,0.571565,
