Number of transactions:122607
Min Support:0.03 Min Confidence:0.88
Frequent Itemsets:
1:  dairy eggs	support=0.5754
98:  ('bakery', 'dairy eggs', 'canned goods', 'produce')	support=0.0316
99:  ('meat seafood', 'dairy eggs', 'beverages', 'produce')	support=0.0369
100:  ('dairy eggs', 'beverages', 'bakery', 'snacks')	support=0.0427
101:  ('bakery', 'snacks', 'beverages', 'produce')	support=0.0416
102:  ('snacks', 'frozen', 'deli', 'produce')	support=0.0364
103:  ('snacks', 'dry goods pasta', 'dairy eggs', 'produce')	support=0.0414
104:  ('dairy eggs', 'pantry', 'bakery', 'produce')	support=0.0409
105:  ('snacks', 'dairy eggs', 'meat seafood', 'produce')	support=0.0373
106:  ('snacks', 'meat seafood', 'dairy eggs', 'produce')	support=0.0373
107:  ('bakery', 'frozen', 'beverages', 'produce')	support=0.0361
108:  ('snacks', 'frozen', 'beverages', 'produce')	support=0.0545
109:  ('dairy eggs', 'frozen', 'beverages', 'snacks')	support=0.0551
110:  ('deli', 'snacks', 'frozen', 'produce')	support=0.0364
111:  ('produce', 'frozen', 'beverages', 'snacks')	support=0.0545
112:  ('deli', 'frozen', 'beverages', 'produce')	support=0.032
113:  ('dairy eggs', 'canned goods', 'beverages', 'produce')	support=0.0407
114:  ('dairy eggs', 'pantry', 'canned goods', 'produce')	support=0.0316
115:  ('snacks', 'frozen', 'bakery', 'produce')	support=0.0401
116:  ('snacks', 'dairy eggs', 'pantry', 'produce')	support=0.0564
117:  ('beverages', 'frozen', 'bakery', 'produce')	support=0.0361
118:  ('dry goods pasta', 'dairy eggs', 'beverages', 'produce')	support=0.0378
119:  ('snacks', 'dairy eggs', 'breakfast', 'produce')	support=0.0402
120:  ('produce', 'pantry', 'beverages', 'snacks')	support=0.0374
121:  ('deli', 'dairy eggs', 'pantry', 'produce')	support=0.035
122:  ('deli', 'snacks', 'bakery', 'produce')	support=0.0301
123:  ('meat seafood', 'dairy eggs', 'frozen', 'produce')	support=0.0356
124:  ('deli', 'dairy eggs', 'bakery', 'snacks')	support=0.0303
125:  ('produce', 'dairy eggs', 'frozen', 'snacks')	support=0.0821
126:  ('dairy eggs', 'frozen', 'bakery', 'produce')	support=0.0582
127:  ('produce', 'pantry', 'frozen', 'snacks')	support=0.036
128:  ('snacks', 'dairy eggs', 'deli', 'produce')	support=0.06
129:  ('dairy eggs', 'frozen', 'canned goods', 'produce')	support=0.0409
130:  ('deli', 'dairy eggs', 'snacks', 'produce')	support=0.06
131:  ('dairy eggs', 'frozen', 'bakery', 'snacks')	support=0.0408
132:  ('produce', 'beverages', 'bakery', 'snacks')	support=0.0416
133:  ('canned goods', 'dairy eggs', 'bakery', 'produce')	support=0.0316
134:  ('deli', 'produce', 'bakery', 'snacks')	support=0.0301
135:  ('dairy eggs', 'pantry', 'frozen', 'beverages')	support=0.0327
136:  ('deli', 'dairy eggs', 'frozen', 'beverages')	support=0.0314
137:  ('dairy eggs', 'beverages', 'frozen', 'bakery')	support=0.037
138:  ('deli', 'dairy eggs', 'frozen', 'produce')	support=0.0513
139:  ('produce', 'dairy eggs', 'breakfast', 'snacks')	support=0.0402
140:  ('bakery', 'dairy eggs', 'beverages', 'produce')	support=0.0608
141:  ('produce', 'dairy eggs', 'pantry', 'snacks')	support=0.0564
142:  ('deli', 'produce', 'frozen', 'snacks')	support=0.0364
143:  ('dairy eggs', 'beverages', 'bakery', 'produce')	support=0.0608
144:  ('pantry', 'frozen', 'beverages', 'produce')	support=0.0323
145:  ('deli', 'produce', 'beverages', 'snacks')	support=0.0384
146:  ('bakery', 'dairy eggs', 'frozen', 'beverages')	support=0.037
147:  ('dairy eggs', 'pantry', 'frozen', 'snacks')	support=0.0362
148:  ('snacks', 'dairy eggs', 'frozen', 'produce')	support=0.0821
149:  ('snacks', 'deli', 'bakery', 'produce')	support=0.0301
150:  ('dairy eggs', 'beverages', 'breakfast', 'produce')	support=0.0357
151:  ('produce', 'dairy eggs', 'canned goods', 'snacks')	support=0.0429
152:  ('dry goods pasta', 'dairy eggs', 'produce', 'snacks')	support=0.0414
153:  ('deli', 'frozen', 'produce', 'dairy eggs', 'snacks')	support=0.032
154:  ('frozen', 'bakery', 'produce', 'dairy eggs', 'snacks')	support=0.0358
155:  ('pantry', 'frozen', 'produce', 'dairy eggs', 'snacks')	support=0.0317
156:  ('frozen', 'beverages', 'bakery', 'produce', 'dairy eggs')	support=0.0318
157:  ('deli', 'beverages', 'produce', 'dairy eggs', 'snacks')	support=0.0333
158:  ('frozen', 'beverages', 'produce', 'dairy eggs', 'snacks')	support=0.0466
159:  ('pantry', 'beverages', 'produce', 'dairy eggs', 'snacks')	support=0.0326
160:  ('beverages', 'bakery', 'produce', 'dairy eggs', 'snacks')	support=0.0368
There are 160 frequent itemsets
Confident Rules:
Rule1:	 ('deli', 'dry goods pasta')	-->('produce',)	 [sup=0.0306 conf=0.8947 lift=1.315Rule2:	 ('deli', 'dairy eggs', 'bakery')	-->('produce',)	 [sup=0.0437 conf=0.8878 lift=1.3048Rule3:	 ('meat seafood', 'dairy eggs', 'snacks')	-->('produce',)	 [sup=0.0373 conf=0.8934 lift=1.3131Rule4:	 ('dairy eggs', 'canned goods', 'bakery')	-->('produce',)	 [sup=0.0316 conf=0.887 lift=1.3036Rule5:	 ('meat seafood', 'dairy eggs', 'snacks')	-->('produce',)	 [sup=0.0373 conf=0.8934 lift=1.3131Rule6:	 ('dry goods pasta', 'dairy eggs', 'bakery')	-->('produce',)	 [sup=0.0321 conf=0.8864 lift=1.3028Rule7:	 ('dry goods pasta', 'bakery', 'produce')	-->('dairy eggs',)	 [sup=0.0321 conf=0.8886 lift=1.5443Rule8:	 ('bakery', 'dairy eggs', 'canned goods')	-->('produce',)	 [sup=0.0316 conf=0.887 lift=1.3036Rule9:	 ('dairy eggs', 'pantry', 'canned goods')	-->('produce',)	 [sup=0.0316 conf=0.8938 lift=1.3136Rule10:	 ('deli', 'dairy eggs', 'pantry')	-->('produce',)	 [sup=0.035 conf=0.8947 lift=1.315Rule11:	 ('meat seafood', 'dairy eggs', 'frozen')	-->('produce',)	 [sup=0.0356 conf=0.8863 lift=1.3027Rule12:	 ('deli', 'bakery', 'snacks')	-->('dairy eggs',)	 [sup=0.0303 conf=0.8868 lift=1.5412Rule13:	 ('dairy eggs', 'frozen', 'canned goods')	-->('produce',)	 [sup=0.0409 conf=0.8813 lift=1.2953Rule14:	 ('canned goods', 'dairy eggs', 'bakery')	-->('produce',)	 [sup=0.0316 conf=0.887 lift=1.3036Rule15:	 ('deli', 'bakery', 'snacks')	-->('produce',)	 [sup=0.0301 conf=0.8818 lift=1.296Rule16:	 ('deli', 'dairy eggs', 'frozen')	-->('produce',)	 [sup=0.0513 conf=0.8839 lift=1.2991Rule17:	 ('dairy eggs', 'canned goods', 'snacks')	-->('produce',)	 [sup=0.0429 conf=0.8842 lift=1.2996Rule18:	 ('dry goods pasta', 'dairy eggs', 'snacks')	-->('produce',)	 [sup=0.0414 conf=0.8813 lift=1.2953There are 18 confident rules
