Number of transactions:122607
Min Support:0.02 Min Confidence:0.7
Frequent Itemsets:
1:  yogurt	support=0.2029
151:  ('fresh dips tapenades', 'packaged vegetables fruits', 'fresh fruits')	support=0.0271
152:  ('fresh dips tapenades', 'fresh vegetables', 'fresh fruits')	support=0.029
153:  ('fresh vegetables', 'yogurt', 'soy lactosefree')	support=0.0211
154:  ('lunch meat', 'packaged vegetables fruits', 'fresh fruits')	support=0.0272
155:  ('energy granola bars', 'fresh fruits', 'packaged vegetables fruits')	support=0.0201
156:  ('fresh dips tapenades', 'fresh fruits', 'packaged vegetables fruits')	support=0.0271
157:  ('hot dogs bacon sausage', 'fresh vegetables', 'fresh fruits')	support=0.0205
158:  ('milk', 'eggs', 'fresh vegetables')	support=0.0202
159:  ('lunch meat', 'fresh fruits', 'packaged vegetables fruits')	support=0.0272
160:  ('milk', 'water seltzer sparkling water', 'fresh fruits')	support=0.0225
161:  ('yogurt', 'frozen produce', 'fresh fruits')	support=0.0208
162:  ('energy granola bars', 'packaged vegetables fruits', 'fresh fruits')	support=0.0201
163:  ('soy lactosefree', 'yogurt', 'fresh vegetables')	support=0.0211
164:  ('ice cream ice', 'fresh vegetables', 'fresh fruits')	support=0.0201
165:  ('refrigerated', 'fresh vegetables', 'fresh fruits')	support=0.0327
166:  ('fresh vegetables', 'crackers', 'fresh fruits')	support=0.0276
167:  ('fresh dips tapenades', 'fresh vegetables', 'packaged vegetables fruits')	support=0.023
168:  ('yogurt', 'fresh fruits', 'fresh vegetables', 'packaged vegetables fruits')	support=0.0475
169:  ('yogurt', 'packaged cheese', 'fresh vegetables', 'fresh fruits')	support=0.0275
170:  ('fresh vegetables', 'packaged vegetables fruits', 'soy lactosefree', 'fresh fruits')	support=0.0308
171:  ('packaged cheese', 'fresh fruits', 'fresh vegetables', 'packaged vegetables fruits')	support=0.0401
172:  ('fresh vegetables', 'water seltzer sparkling water', 'fresh fruits', 'packaged vegetables fruits')	support=0.0263
173:  ('fresh herbs', 'packaged vegetables fruits', 'fresh vegetables', 'fresh fruits')	support=0.0214
174:  ('fresh vegetables', 'fresh fruits', 'soy lactosefree', 'packaged vegetables fruits')	support=0.0308
175:  ('soy lactosefree', 'fresh fruits', 'fresh vegetables', 'packaged vegetables fruits')	support=0.0308
176:  ('fresh vegetables', 'frozen produce', 'fresh fruits', 'packaged vegetables fruits')	support=0.023
177:  ('fresh vegetables', 'yogurt', 'fresh fruits', 'packaged vegetables fruits')	support=0.0475
178:  ('packaged vegetables fruits', 'frozen produce', 'fresh vegetables', 'fresh fruits')	support=0.023
179:  ('yogurt', 'packaged vegetables fruits', 'fresh vegetables', 'fresh fruits')	support=0.0475
180:  ('bread', 'fresh fruits', 'fresh vegetables', 'packaged vegetables fruits')	support=0.027
181:  ('frozen produce', 'fresh fruits', 'fresh vegetables', 'packaged vegetables fruits')	support=0.023
182:  ('fresh fruits', 'frozen produce', 'fresh vegetables', 'packaged vegetables fruits')	support=0.023
183:  ('yogurt', 'packaged cheese', 'packaged vegetables fruits', 'fresh fruits')	support=0.0259
184:  ('packaged cheese', 'packaged vegetables fruits', 'fresh vegetables', 'fresh fruits')	support=0.0401
185:  ('yogurt', 'packaged cheese', 'fresh fruits', 'packaged vegetables fruits')	support=0.0259
186:  ('packaged vegetables fruits', 'fresh fruits', 'fresh vegetables', 'bread')	support=0.027
187:  ('fresh vegetables', 'packaged cheese', 'fresh fruits', 'packaged vegetables fruits')	support=0.0401
188:  ('fresh vegetables', 'eggs', 'fresh fruits', 'packaged vegetables fruits')	support=0.0288
189:  ('chips pretzels', 'packaged vegetables fruits', 'fresh vegetables', 'fresh fruits')	support=0.0234
190:  ('water seltzer sparkling water', 'packaged vegetables fruits', 'fresh vegetables', 'fresh fruits')	support=0.0263
191:  ('water seltzer sparkling water', 'fresh fruits', 'fresh vegetables', 'packaged vegetables fruits')	support=0.0263
There are 191 frequent itemsets
Confident Rules:
Rule1:	 ('frozen produce', 'packaged vegetables fruits')	-->('fresh fruits',)	 [sup=0.032 conf=0.792 lift=1.6192Rule2:	 ('crackers', 'fresh vegetables')	-->('fresh fruits',)	 [sup=0.0276 conf=0.7999 lift=1.6353Rule3:	 ('cream', 'fresh vegetables')	-->('fresh fruits',)	 [sup=0.0205 conf=0.7443 lift=1.5217Rule4:	 ('cereal', 'fresh vegetables')	-->('fresh fruits',)	 [sup=0.0206 conf=0.7844 lift=1.6038Rule5:	 ('energy granola bars', 'fresh vegetables')	-->('fresh fruits',)	 [sup=0.0205 conf=0.8192 lift=1.6749Rule6:	 ('eggs', 'fresh vegetables')	-->('fresh fruits',)	 [sup=0.0476 conf=0.7569 lift=1.5475Rule7:	 ('bread', 'fresh vegetables')	-->('fresh fruits',)	 [sup=0.0456 conf=0.775 lift=1.5844Rule8:	 ('packaged cheese', 'soy lactosefree')	-->('fresh fruits',)	 [sup=0.0207 conf=0.7655 lift=1.5651Rule9:	 ('fresh dips tapenades', 'packaged vegetables fruits')	-->('fresh fruits',)	 [sup=0.0271 conf=0.7867 lift=1.6083Rule10:	 ('fresh dips tapenades', 'fresh vegetables')	-->('fresh fruits',)	 [sup=0.029 conf=0.7871 lift=1.6091Rule11:	 ('lunch meat', 'packaged vegetables fruits')	-->('fresh fruits',)	 [sup=0.0272 conf=0.8004 lift=1.6364Rule12:	 ('energy granola bars', 'packaged vegetables fruits')	-->('fresh fruits',)	 [sup=0.0201 conf=0.8241 lift=1.6848Rule13:	 ('fresh dips tapenades', 'packaged vegetables fruits')	-->('fresh fruits',)	 [sup=0.0271 conf=0.7867 lift=1.6083Rule14:	 ('lunch meat', 'packaged vegetables fruits')	-->('fresh fruits',)	 [sup=0.0272 conf=0.8004 lift=1.6364Rule15:	 ('energy granola bars', 'packaged vegetables fruits')	-->('fresh fruits',)	 [sup=0.0201 conf=0.8241 lift=1.6848Rule16:	 ('packaged cheese', 'fresh fruits', 'packaged vegetables fruits')	-->('fresh vegetables',)	 [sup=0.0401 conf=0.7091 lift=1.9496Rule17:	 ('fresh vegetables', 'soy lactosefree', 'packaged vegetables fruits')	-->('fresh fruits',)	 [sup=0.0308 conf=0.8408 lift=1.7191Rule18:	 ('soy lactosefree', 'fresh vegetables', 'packaged vegetables fruits')	-->('fresh fruits',)	 [sup=0.0308 conf=0.8408 lift=1.7191Rule19:	 ('frozen produce', 'fresh fruits', 'packaged vegetables fruits')	-->('fresh vegetables',)	 [sup=0.023 conf=0.7179 lift=1.9738Rule20:	 ('packaged vegetables fruits', 'frozen produce', 'fresh fruits')	-->('fresh vegetables',)	 [sup=0.023 conf=0.7179 lift=1.9738Rule21:	 ('frozen produce', 'fresh fruits', 'packaged vegetables fruits')	-->('fresh vegetables',)	 [sup=0.023 conf=0.7179 lift=1.9738Rule22:	 ('frozen produce', 'fresh vegetables', 'packaged vegetables fruits')	-->('fresh fruits',)	 [sup=0.023 conf=0.8441 lift=1.7257Rule23:	 ('frozen produce', 'fresh vegetables', 'packaged vegetables fruits')	-->('fresh fruits',)	 [sup=0.023 conf=0.8441 lift=1.7257Rule24:	 ('yogurt', 'packaged cheese', 'packaged vegetables fruits')	-->('fresh fruits',)	 [sup=0.0259 conf=0.8656 lift=1.7696Rule25:	 ('packaged cheese', 'packaged vegetables fruits', 'fresh fruits')	-->('fresh vegetables',)	 [sup=0.0401 conf=0.7091 lift=1.9496Rule26:	 ('yogurt', 'packaged cheese', 'packaged vegetables fruits')	-->('fresh fruits',)	 [sup=0.0259 conf=0.8656 lift=1.7696Rule27:	 ('packaged cheese', 'fresh fruits', 'packaged vegetables fruits')	-->('fresh vegetables',)	 [sup=0.0401 conf=0.7091 lift=1.9496Rule28:	 ('water seltzer sparkling water', 'fresh vegetables', 'packaged vegetables fruits')	-->('fresh fruits',)	 [sup=0.0263 conf=0.8217 lift=1.6801There are 28 confident rules
